"NBa7we src","d4r55","eaLgGf","hCCjke","rsqaWe","wiI7pd"
"https://lh3.googleusercontent.com/a/ACg8ocJzPyCXSp0BL5dxgA4Zs4WRorwrS9eO2Edl-yjKoWnghdD95g=w72-h72-p-rp-mo-br100","G Yu","","","a year ago","I had the strawberry milk tea and the boba and it was great. The boba was chewy and the tea was just the right amount. The staff was kind so In short the tea was refreshing and would come back any time 🧋 …"
"https://lh3.googleusercontent.com/a-/ALV-UjXgYIh0RZJu-F6fBdRy5wlfNc5VjBEl0d6RvZGLS4mSqAyC09i3=w72-h72-p-rp-mo-br100","Asad Akram","","","5 months ago","Every time I come here the people taking the order  manage get it wrong despite me repeating my order several times to them (wrong size twice, missing an item once)."
"https://lh3.googleusercontent.com/a-/ALV-UjX0SOxWz9mgah6ZD5Tq8zTLp1llmhir-wJrk5MuZB-Lk0pr7tVv=w72-h72-p-rp-mo-ba3-br100","Madina Su","","","a year ago","Great location, very fast service, Yummy drinks and waffle."
"https://lh3.googleusercontent.com/a-/ALV-UjX0rmxSkGK3Xu7KzH-f9TvCTmBwVis8gzZ5Zp-a1ZjwkvP_2LhN=w72-h72-p-rp-mo-br100","J L","","","a year ago","I do not usually write reviews, but this Gong cha's service was just so friendly! I would definitely come back to this new location with my friends when I am back in Boston."
"https://lh3.googleusercontent.com/a/ACg8ocJyeLtPO7SPZdGeuy36aNP5o8bAaHuJoCJ2xJZ8G1xFUChfug=w72-h72-p-rp-mo-br100","Alisha Veiga","","","a year ago","Great tea place! The ambiance is very clean and trendy, the staff are friendly, and most importantly the tea is delicious! 10/10 would recommend!"
"https://lh3.googleusercontent.com/a-/ALV-UjUtSTC493UKPsNlSIywr7yHlJl0HUzrdloLkz9RcX1VNFtZbuU=w72-h72-p-rp-mo-br100","Austin Whaley","","","7 months ago","Delicious, not over sugared, balanced drinks. Boba is cooked to the right level"
"https://lh3.googleusercontent.com/a/ACg8ocL2qMr0VPq256Sm3w8ntEsK-41ngbqAmyjLBxC4CgY21qm6kw=w72-h72-p-rp-mo-br100","layla palomba","","","a year ago","Hands down best tea around! It’s very clean and the staff is extremely friendly and knowledge . If your in the area highly recommend going there , you definitely won’t be disappointed!"
"https://lh3.googleusercontent.com/a/ACg8ocLorHWJ7wsB7-abr8t_Gk1KTaqHeFQe1qfmZUOKdOSP1AibrA=w72-h72-p-rp-mo-br100","John Keeley","","","10 months ago","Delicious drinks, friendly workers, and overall good vibes. The winter melon milk tea is a must!"
"https://lh3.googleusercontent.com/a/ACg8ocIoG3AbLefZ8zaz33Y11VgaE5RUSK_S2wyR4itwIScXg1zssQ=w72-h72-p-rp-mo-br100","Elisa Veiga","","","a year ago","Went to visit Gong Cha yesterday.  It was an amazing experience.  Great bubble tea and great team working there !!!  I wish them tons of luck"
"https://lh3.googleusercontent.com/a-/ALV-UjU4jLhgMwdgZ89ozvSFWpJ2MzL6Uz7RZAjtE_0C2NN0Ay_X3Q0=w72-h72-p-rp-mo-br100","Chanel “Cici” Starlings","","","a year ago","Great service, great staff, a lot of patience and recommendations, always making a conversation while waiting for the drinks. Boba tastes fresh and chewy."
"https://lh3.googleusercontent.com/a-/ALV-UjWf4j4DkhAwSKXNJ15p2Lzd9x5RYG2XIPRYJpAnl8_LIErPLSCh=w72-h72-p-rp-mo-br100","Yu-An Chen","","","10 months ago","Must try Oolong bubble(chewy!) milk tea!"
"https://lh3.googleusercontent.com/a-/ALV-UjWt_kW2a6SoXnDeoQmMRkt6KolXTsWXJTK9huNicW-tBYWps-VM=w72-h72-p-rp-mo-ba4-br100","Christopher Rhodes","","","5 months ago","Bubble tea in Harvard Square, so good!"
"https://lh3.googleusercontent.com/a-/ALV-UjUp3o_tLKfO_El8GwoDF0gxNEir1zGe2pIC3IjseravrVLVL061=w72-h72-p-rp-mo-ba4-br100","Brendon Camp","","","a year ago","This location overcharges and charges for toppings that are supposed to be included with the drink but Gong Cha in general is still the best"
